image,box_top,box_left,box_width,box_height,label
frame_s1_1.jpg,244,500,192,99,4
frame_s1_1.jpg,358,742,218,105,4
frame_s1_10.jpg,97,651,79,81,0
frame_s1_10.jpg,354,667,109,281,0
frame_s1_100.jpg,159,460,172,169,1
frame_s1_101.jpg,114,577,238,303,2
frame_s1_101.jpg,90,143,231,375,2
frame_s1_102.jpg,69,814,307,433,2
frame_s1_102.jpg,10,218,440,550,2
frame_s1_103.jpg,14,148,305,432,2
frame_s1_103.jpg,55,795,386,497,2
frame_s1_103.jpg,20,463,155,588,2
frame_s1_104.jpg,112,866,342,539,2
frame_s1_104.jpg,8,181,485,620,2
frame_s1_105.jpg,11,124,476,595,2
frame_s1_105.jpg,97,821,325,514,2
frame_s1_106.jpg,110,367,255,318,2
frame_s1_106.jpg,67,625,188,261,2
frame_s1_107.jpg,84,750,167,253,2
frame_s1_107.jpg,106,412,260,427,2
frame_s1_108.jpg,71,730,195,279,2
frame_s1_108.jpg,99,302,336,540,2
frame_s1_109.jpg,31,810,284,381,2
frame_s1_109.jpg,73,314,354,541,2
frame_s1_11.jpg,118,649,79,77,0
frame_s1_11.jpg,396,671,86,241,0
frame_s1_110.jpg,108,322,366,559,2
frame_s1_110.jpg,71,879,305,386,2
frame_s1_111.jpg,70,868,311,433,2
frame_s1_111.jpg,115,235,420,598,2
frame_s1_112.jpg,80,236,398,625,2
frame_s1_112.jpg,19,877,380,471,2
frame_s1_113.jpg,23,181,407,656,2
frame_s1_113.jpg,3,871,384,448,2
frame_s1_114.jpg,237,567,95,55,4
frame_s1_115.jpg,239,563,108,61,4
frame_s1_116.jpg,222,578,116,71,4
frame_s1_117.jpg,268,524,137,78,4
frame_s1_118.jpg,275,582,132,94,4
frame_s1_119.jpg,246,577,134,105,4
frame_s1_12.jpg,122,651,75,73,0
frame_s1_12.jpg,399,672,75,215,0
frame_s1_120.jpg,269,577,158,125,4
frame_s1_121.jpg,289,540,175,164,4
frame_s1_122.jpg,147,571,174,178,1
frame_s1_123.jpg,174,552,155,184,1
frame_s1_124.jpg,170,526,190,244,1
frame_s1_125.jpg,144,508,288,330,1
frame_s1_126.jpg,20,434,266,360,1
frame_s1_127.jpg,295,534,165,87,4
frame_s1_128.jpg,301,499,192,99,4
frame_s1_129.jpg,227,534,231,117,4
frame_s1_13.jpg,147,667,68,72,0
frame_s1_13.jpg,411,680,79,223,0
frame_s1_130.jpg,230,472,257,124,4
frame_s1_131.jpg,199,458,261,128,4
frame_s1_132.jpg,181,469,277,129,4
frame_s1_133.jpg,69,673,285,432,2
frame_s1_133.jpg,65,496,175,386,2
frame_s1_133.jpg,61,216,142,312,2
frame_s1_133.jpg,58,356,148,357,2
frame_s1_134.jpg,39,823,284,462,2
frame_s1_134.jpg,50,605,209,346,2
frame_s1_134.jpg,56,384,190,341,2
frame_s1_134.jpg,72,206,177,292,2
frame_s1_135.jpg,7,785,313,499,2
frame_s1_135.jpg,4,501,270,419,2
frame_s1_135.jpg,20,231,265,456,2
frame_s1_135.jpg,31,2,221,346,2
frame_s1_136.jpg,58,953,323,532,2
frame_s1_136.jpg,61,645,299,530,2
frame_s1_136.jpg,70,353,281,506,2
frame_s1_136.jpg,81,30,312,485,2
frame_s1_137.jpg,35,671,256,553,2
frame_s1_137.jpg,56,943,333,531,2
frame_s1_137.jpg,76,364,284,508,2
frame_s1_137.jpg,84,38,321,489,2
frame_s1_138.jpg,74,61,312,485,2
frame_s1_138.jpg,58,380,283,518,2
frame_s1_138.jpg,55,674,284,524,2
frame_s1_138.jpg,54,972,296,527,2
frame_s1_139.jpg,32,140,297,493,2
frame_s1_139.jpg,21,441,280,507,2
frame_s1_139.jpg,20,741,294,522,2
frame_s1_139.jpg,10,1041,223,537,2
frame_s1_14.jpg,130,691,63,73,0
frame_s1_14.jpg,382,698,79,225,0
frame_s1_141.jpg,221,463,195,102,4
frame_s1_141.jpg,305,746,248,109,4
frame_s1_142.jpg,289,763,247,121,4
frame_s1_142.jpg,202,463,199,103,4
frame_s1_143.jpg,202,469,200,102,4
frame_s1_143.jpg,287,766,243,114,4
frame_s1_144.jpg,213,464,197,103,4
frame_s1_144.jpg,299,756,239,119,4
frame_s1_145.jpg,207,460,203,104,4
frame_s1_145.jpg,297,755,252,116,4
frame_s1_146.jpg,207,456,196,101,4
frame_s1_146.jpg,295,756,242,116,4
frame_s1_147.jpg,278,736,249,117,4
frame_s1_147.jpg,189,440,202,105,4
frame_s1_148.jpg,181,452,198,103,4
frame_s1_148.jpg,269,748,249,119,4
frame_s1_149.jpg,186,445,202,103,4
frame_s1_149.jpg,274,748,244,118,4
frame_s1_15.jpg,128,650,64,71,0
frame_s1_15.jpg,377,655,78,217,0
frame_s1_16.jpg,117,647,65,70,0
frame_s1_16.jpg,376,648,79,211,0
frame_s1_17.jpg,113,661,69,72,0
frame_s1_17.jpg,370,666,83,233,0
frame_s1_18.jpg,102,670,72,76,0
frame_s1_18.jpg,367,672,88,240,0
frame_s1_19.jpg,100,615,76,79,0
frame_s1_19.jpg,367,631,101,263,0
frame_s1_2.jpg,241,502,189,98,4
frame_s1_2.jpg,344,740,215,112,4
frame_s1_20.jpg,108,570,76,77,0
frame_s1_20.jpg,392,586,85,244,0
frame_s1_21.jpg,94,533,75,76,0
frame_s1_21.jpg,371,551,84,240,0
frame_s1_22.jpg,108,538,74,78,0
frame_s1_22.jpg,395,557,86,245,0
frame_s1_23.jpg,37,786,124,91,4
frame_s1_24.jpg,556,305,43,80,3
frame_s1_24.jpg,53,751,137,88,4
frame_s1_25.jpg,425,732,177,224,0
frame_s1_26.jpg,383,676,165,190,0
frame_s1_27.jpg,327,699,161,185,0
frame_s1_28.jpg,330,694,161,189,0
frame_s1_29.jpg,392,711,173,200,0
frame_s1_3.jpg,237,464,197,105,4
frame_s1_3.jpg,360,708,212,104,4
frame_s1_30.jpg,80,554,98,144,0
frame_s1_31.jpg,118,639,106,146,0
frame_s1_32.jpg,178,551,98,163,0
frame_s1_33.jpg,80,542,98,223,0
frame_s1_34.jpg,473,806,130,152,0
frame_s1_35.jpg,350,730,101,153,0
frame_s1_36.jpg,111,821,40,46,0
frame_s1_36.jpg,440,119,72,116,0
frame_s1_36.jpg,264,829,59,136,0
frame_s1_37.jpg,137,754,38,45,0
frame_s1_37.jpg,456,149,62,107,0
frame_s1_37.jpg,284,761,61,134,0
frame_s1_38.jpg,387,271,46,89,0
frame_s1_38.jpg,114,793,37,38,0
frame_s1_38.jpg,243,806,46,125,0
frame_s1_39.jpg,78,770,33,37,0
frame_s1_39.jpg,201,779,45,112,0
frame_s1_39.jpg,313,361,29,70,0
frame_s1_4.jpg,208,475,181,100,4
frame_s1_4.jpg,335,671,183,99,4
frame_s1_40.jpg,61,328,204,273,1
frame_s1_41.jpg,129,499,147,223,1
frame_s1_42.jpg,75,452,230,292,1
frame_s1_43.jpg,129,526,234,258,1
frame_s1_44.jpg,199,501,220,238,1
frame_s1_45.jpg,230,494,194,197,1
frame_s1_46.jpg,253,493,201,203,1
frame_s1_47.jpg,151,676,140,108,4
frame_s1_48.jpg,132,588,187,141,4
frame_s1_49.jpg,200,616,209,110,4
frame_s1_5.jpg,180,457,175,112,4
frame_s1_5.jpg,310,632,161,112,4
frame_s1_50.jpg,163,560,227,119,4
frame_s1_51.jpg,134,523,221,94,4
frame_s1_52.jpg,142,582,219,99,4
frame_s1_53.jpg,152,605,221,111,4
frame_s1_54.jpg,185,631,220,101,4
frame_s1_55.jpg,70,578,147,142,4
frame_s1_56.jpg,64,600,151,122,4
frame_s1_57.jpg,66,639,153,125,4
frame_s1_58.jpg,103,600,169,108,4
frame_s1_59.jpg,142,529,167,102,4
frame_s1_6.jpg,133,920,100,100,0
frame_s1_6.jpg,499,948,142,226,0
frame_s1_60.jpg,132,509,173,94,4
frame_s1_61.jpg,125,495,175,95,4
frame_s1_62.jpg,120,516,185,85,4
frame_s1_63.jpg,142,603,220,107,4
frame_s1_64.jpg,165,505,225,110,4
frame_s1_65.jpg,299,621,78,76,1
frame_s1_66.jpg,293,589,117,112,1
frame_s1_67.jpg,267,612,138,130,1
frame_s1_68.jpg,275,515,161,145,1
frame_s1_69.jpg,245,544,204,190,1
frame_s1_7.jpg,104,773,95,90,0
frame_s1_7.jpg,470,783,103,241,0
frame_s1_70.jpg,257,475,237,220,1
frame_s1_71.jpg,227,461,281,267,1
frame_s1_72.jpg,184,437,314,300,1
frame_s1_73.jpg,163,436,358,330,1
frame_s1_74.jpg,159,419,363,329,1
frame_s1_75.jpg,136,436,334,322,1
frame_s1_76.jpg,169,608,124,97,4
frame_s1_77.jpg,274,613,140,91,4
frame_s1_78.jpg,196,603,186,107,4
frame_s1_79.jpg,115,528,229,121,4
frame_s1_8.jpg,68,737,83,85,0
frame_s1_8.jpg,371,750,110,303,0
frame_s1_80.jpg,49,518,262,132,4
frame_s1_81.jpg,285,610,78,67,1
frame_s1_82.jpg,254,610,115,107,1
frame_s1_83.jpg,223,573,131,123,1
frame_s1_84.jpg,180,571,178,179,1
frame_s1_85.jpg,0,540,262,233,1
frame_s1_86.jpg,183,529,247,430,3
frame_s1_87.jpg,136,516,309,543,3
frame_s1_88.jpg,165,708,286,509,3
frame_s1_89.jpg,50,783,344,430,2
frame_s1_89.jpg,97,461,314,345,2
frame_s1_89.jpg,68,254,207,332,2
frame_s1_9.jpg,81,685,77,83,0
frame_s1_9.jpg,392,703,90,254,0
frame_s1_90.jpg,76,324,225,359,2
frame_s1_90.jpg,95,569,340,380,2
frame_s1_90.jpg,75,932,346,434,2
frame_s1_91.jpg,115,278,273,353,2
frame_s1_91.jpg,113,555,336,368,2
frame_s1_91.jpg,73,948,331,402,2
frame_s1_92.jpg,155,257,263,347,2
frame_s1_92.jpg,109,940,332,387,2
frame_s1_92.jpg,157,545,363,363,2
frame_s1_93.jpg,164,160,300,379,2
frame_s1_93.jpg,154,469,346,363,2
frame_s1_93.jpg,106,827,307,359,2
frame_s1_94.jpg,191,164,270,351,2
